Time                 Pressure           Temperature    Depth           Dp/Dz           Dt/Dz		 Parada
0.917233            5298.44             169.39         3790.00         0               0              PARADAN1
1.109221            4789.16             168.61         3500.00         1.75614         0.00269        PARADAN2
1.401500            4064.65             166.17         3000.00         1.44902         0.00488        PARADAN3
1.670856            3327.96             162.59         2500.00         1.47338         0.00716        PARADAN4
1.974597            2521.77             157.05         2000.00         1.61238         0.01108        PARADAN5
2.200970            1860.85             151.49         1610.00         1.69467         0.01426        PARADAN6
2.284069            1845.76             151.78         1590.00         0.75450         0.01450        PARADAN7
2.470326            1361.21             146.70         1219.00         1.30606         0.01369        PARADAN8
2.539097            1244.60             146.19         1199.00         5.83050         0.02550        PARADAN9
2.699564             981.65             142.06         1009.00         1.38395         0.02174        PARADAN10
2.785529            1004.12             136.00          989.00         1.12350         0.30300        PARADAN11
3.074943             172.11             123.16          212.00         1.07080         0.01653        PARADAN12
3.158042             219.93             122.25          192.00         2.39100         0.04550        PARADAN13
3.255468             167.78             125.09           50.00         0.36725         0.02000        PARADAN14
3.338568              67.55             112.97            0.00         2.00460         0.24240        PARADAN15
